radar,date,time,pulse,dataset,elevation_deg,finite_gate_count,receiver_noise_count,receiver_noise_fraction,receiver_noise_max_dbz,receiver_noise_ge_10_dbz,receiver_noise_ge_20_dbz,ci_finite_count,ci_low_count,ci_high_count,near_zero_vrad_count,low_sqi_count,receiver_noise_figure_h_db,receiver_noise_figure_v_db,ambient_noise_h_median,ambient_noise_v_median,source_url
chenies,20260115,0000,lp,dataset1,0.5,153000,19884,0.12996078431372549,-8.19999885559082,0,0,153000,8955,130850,32354,40732,6.68,7.55,23.125,22.440000534057617,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/01/15/lp/20260115_polar_pl_radar05_aggregate_lp_0000.h5
chenies,20260115,0000,lp,dataset2,1.0,153000,18094,0.11826143790849673,-8.0,0,0,153000,5961,130753,29546,38329,6.68,7.35,23.020000457763672,22.34000015258789,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/01/15/lp/20260115_polar_pl_radar05_aggregate_lp_0000.h5
chenies,20260115,0000,lp,dataset3,2.0,153000,5137,0.03357516339869281,-7.100000381469727,0,0,153000,4372,89257,25647,20264,6.58,7.31,22.940000534057617,22.270000457763672,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/01/15/lp/20260115_polar_pl_radar05_aggregate_lp_0000.h5
chenies,20260115,0000,lp,dataset4,3.0,153000,5426,0.0354640522875817,-7.19999885559082,0,0,153000,4249,89228,24705,21150,6.5,7.22,22.899999618530273,22.239999771118164,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/01/15/lp/20260115_polar_pl_radar05_aggregate_lp_0000.h5
chenies,20260115,0000,lp,dataset5,4.0,153000,5499,0.03594117647058823,-7.0,0,0,153000,3899,89181,24478,21697,6.42,7.16,22.8799991607666,22.200000762939453,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/01/15/lp/20260115_polar_pl_radar05_aggregate_lp_0000.h5
chenies,20260115,0000,sp,dataset1,1.0,68040,15328,0.22527924750146971,14.0,6501,0,68040,1779,60377,7164,39835,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/01/15/sp/20260115_polar_pl_radar05_aggregate_sp_0000.h5
chenies,20260115,0000,sp,dataset2,2.0,68040,17158,0.25217519106407993,13.799999237060547,6472,0,68040,1194,63091,4866,44338,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/01/15/sp/20260115_polar_pl_radar05_aggregate_sp_0000.h5
chenies,20260115,0000,sp,dataset3,4.0,68040,17742,0.2607583774250441,13.700000762939453,6772,0,68040,1071,63506,4265,47510,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/01/15/sp/20260115_polar_pl_radar05_aggregate_sp_0000.h5
chenies,20260115,0000,sp,dataset4,6.0,68040,18241,0.2680922986478542,13.700000762939453,6851,0,68040,670,64325,3609,48613,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/01/15/sp/20260115_polar_pl_radar05_aggregate_sp_0000.h5
chenies,20260115,0000,sp,dataset5,9.0,68040,19085,0.2804967666078777,13.700000762939453,7112,0,68040,658,64572,3243,49706,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/01/15/sp/20260115_polar_pl_radar05_aggregate_sp_0000.h5
chenies,20260115,0000,sp,dataset6,89.9,57600,1096,0.01902777777777778,-6.399999618530273,0,0,57600,7213,35904,12154,7636,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/01/15/sp/20260115_polar_pl_radar05_aggregate_sp_0000.h5
chenies,20260415,1200,lp,dataset1,0.5,153000,19862,0.1298169934640523,-9.299999237060547,0,0,153000,7792,131448,32562,42313,4.66,4.66,28.540000915527344,27.59000015258789,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/chenies/2026/04/15/lp/20260415_polar_pl_radar05_aggregate_lp_1200.h5
